B_win_prob,R_win_prob,R_fighter,B_fighter,date
0.28082943,0.7191706,Max Holloway,Chan Sung Jung,2023-08-26
0.55644095,0.44355905,Giga Chikadze,Alex Caceres,2023-08-26
0.3622132,0.6377868,Waldo Cortes-Acosta,Lukasz Brzeski,2023-08-26
0.366935,0.633065,Erin Blanchfield,Taila Santos,2023-08-26
0.3879488,0.6120512,Anthony Smith,Ryan Spann,2023-08-26
0.75047004,0.24952994,Rinya Nakamura,Fernie Garcia,2023-08-26
0.12973696,0.87026304,Junior Tafa,Parker Porter,2023-08-26
0.5058833,0.49411672,Toshiomi Kazama,Garrett Armfield,2023-08-26
0.64424324,0.35575676,Song Kenan,Rolando Bedoya,2023-08-26
0.49083585,0.50916415,Liang Na,JJ Aldrich,2023-08-26
0.5744552,0.4255448,Chidi Njokuani,Michal Oleksiejczuk,2023-08-26
0.2336877,0.7663123,Billy Goff,Yusaku Kinoshita,2023-08-26
0.5973357,0.40266433,SeungWoo Choi,Jarno Errens,2023-08-26
0.48142803,0.518572,Aljamain Sterling,Sean O'Malley,2023-08-19
0.5169101,0.48308995,Chris Weidman,Brad Tavares,2023-08-19
0.55715895,0.44284102,Da'Mon Blackshear,Mario Bautista,2023-08-19
0.6745006,0.3254994,Neil Magny,Ian Garry,2023-08-19
0.4526766,0.5473234,Zhang Weili,Amanda Lemos,2023-08-19
0.5420857,0.4579143,Kurt Holobaugh,Austin Hubbard,2023-08-19
0.68133533,0.3186647,Gregory Rodrigues,Denis Tiuliulin,2023-08-19
0.28746307,0.71253693,Marlon Vera,Pedro Munhoz,2023-08-19
0.71261066,0.28738934,Brad Katona,Cody Gibson,2023-08-19
0.2813748,0.7186252,Karine Silva,Maryna Moroz,2023-08-19
0.45246434,0.54753566,Andrea Lee,Natalia Silva,2023-08-19
0.17181408,0.8281859,Andre Petroski,Gerald Meerschaert,2023-08-19
0.63439417,0.3656058,Vicente Luque,Rafael Dos Anjos,2023-08-12
0.40737188,0.5926281,Polyana Viana,Iasmin Lucindo,2023-08-12
0.52640665,0.47359338,AJ Dobson,Tafon Nchukwi,2023-08-12
0.3737046,0.6262954,Khalil Rountree Jr.,Chris Daukaus,2023-08-12
0.6918112,0.30818877,Josh Fremd,Jamie Pickett,2023-08-12
0.47569734,0.52430266,Cub Swanson,Hakeem Dawodu,2023-08-12
0.25057977,0.7494202,Terrance McKinney,Mike Breeden,2023-08-12
0.49078143,0.5092186,JP Buys,Marcus McGhee,2023-08-12
